"","Term","ProbAbstract","ProbConcrete","Classification","Jitter"
"streaks","streaks",4.84682629046285e-05,0.999951531737095,"concrete",0.24334
"sheet","sheet",4.90039405584138e-05,0.999950996059441,"concrete",0.55807
"whirling","whirling",4.90992807954066e-05,0.999950900719205,"concrete",0.15974
"ink","ink",4.92598057343475e-05,0.999950740194266,"concrete",0.05172
"mercury","mercury",4.94169144274612e-05,0.999950583085572,"concrete",0.0933
"brow","brow",4.97939215096781e-05,0.99995020607849,"concrete",0.23078
"decanter","decanter",5.07834918609397e-05,0.999949216508139,"concrete",0.67075
"belly","belly",5.09888099202639e-05,0.99994901119008,"concrete",0.18142
"louder","louder",5.14595056247802e-05,0.999948540494375,"concrete",0.53517
"crashing","crashing",5.1554577052118e-05,0.999948445422948,"concrete",0.28854
"sword","sword",5.16102395195569e-05,0.99994838976048,"concrete",0.40388
"columns","columns",5.19214833231832e-05,0.999948078516677,"concrete",0.05249
"pennies","pennies",5.29882770601468e-05,0.99994701172294,"concrete",0.04446
"fragment","fragment",5.37092674797358e-05,0.99994629073252,"concrete",0.00695
"banner","banner",5.40428156283749e-05,0.999945957184372,"concrete",0.19975
"slant","slant",5.51313225480431e-05,0.999944868677452,"concrete",0.72337
"footstool","footstool",5.54779825616053e-05,0.999944522017438,"concrete",0.2751
"starlight","starlight",5.6037246387299e-05,0.999943962753613,"concrete",0.00802
"shower","shower",5.70000423430703e-05,0.999942999957657,"concrete",0.00294
"fast","fast",5.75301441323843e-05,0.999942469855868,"concrete",0.24434
"lamp","lamp",5.79068982668289e-05,0.999942093101733,"concrete",0.2055
"stones","stones",5.79360587747343e-05,0.999942063941225,"concrete",0.55982
"circles","circles",5.83172508604252e-05,0.99994168274914,"concrete",0.94253
"split","split",5.83936123289289e-05,0.999941606387671,"concrete",0.77516
"streak","streak",5.85800121704594e-05,0.99994141998783,"concrete",0.59561
"dollar","dollar",5.90632425900417e-05,0.99994093675741,"concrete",0.91266
"lifetime","lifetime",6.0438102612037e-05,0.999939561897388,"concrete",0.39604
"desk","desk",6.12806197951251e-05,0.999938719380205,"concrete",0.14554
